sk_local;bairro;endereco;latitude;longitude
172;NÃO INFORMADO;NÃO INFORMADO;-8.038355;-34.900357
173;NÃO INFORMADO;NÃO INFORMADO;-8.069725;-34.982915
174;NÃO INFORMADO;NÃO INFORMADO;-8.029612;-34.900399
175;NÃO INFORMADO;NÃO INFORMADO;-8.054566;-34.88054
176;NÃO INFORMADO;NÃO INFORMADO;-8.09883;-34.910216
177;NÃO INFORMADO;NÃO INFORMADO;-8.009315;-34.889043
178;NÃO INFORMADO;NÃO INFORMADO;-8.087162;-34.884945
179;NÃO INFORMADO;NÃO INFORMADO;-8.115739;-34.89555
180;NÃO INFORMADO;NÃO INFORMADO;-7.986642;-34.931878
181;NÃO INFORMADO;NÃO INFORMADO;-8.031105;-34.902143
182;NÃO INFORMADO;NÃO INFORMADO;-8.135473;-34.910538
183;NÃO INFORMADO;NÃO INFORMADO;-8.002842;-34.897666
184;NÃO INFORMADO;NÃO INFORMADO;-8.089344;-34.929786
185;NÃO INFORMADO;NÃO INFORMADO;-8.03163;-34.954886
186;NÃO INFORMADO;NÃO INFORMADO;-8.045441;-34.897036
187;NÃO INFORMADO;NÃO INFORMADO;-8.022499;-34.931138
188;NÃO INFORMADO;NÃO INFORMADO;-8.046864;-34.904197
189;NÃO INFORMADO;NÃO INFORMADO;-8.115336;-34.924534
190;NÃO INFORMADO;NÃO INFORMADO;-8.081282;-34.905185
191;NÃO INFORMADO;NÃO INFORMADO;-8.095856;-34.88318
192;NÃO INFORMADO;NÃO INFORMADO;-8.087485;-34.907641
193;NÃO INFORMADO;NÃO INFORMADO;-8.023918;-34.89378
194;NÃO INFORMADO;NÃO INFORMADO;-8.141039;-34.911268
195;NÃO INFORMADO;NÃO INFORMADO;-8.0809;-34.920688
196;NÃO INFORMADO;NÃO INFORMADO;-8.04032;-34.915044
197;NÃO INFORMADO;NÃO INFORMADO;-8.07561;-34.916096
198;NÃO INFORMADO;NÃO INFORMADO;-8.021564;-34.916643
199;NÃO INFORMADO;NÃO INFORMADO;-8.1243;-34.908521
200;NÃO INFORMADO;NÃO INFORMADO;-8.080666;-34.914701
201;NÃO INFORMADO;NÃO INFORMADO;-8.084224;-34.889553
202;NÃO INFORMADO;NÃO INFORMADO;-8.080374;-34.904321
203;NÃO INFORMADO;NÃO INFORMADO;-8.093062;-34.943111
204;NÃO INFORMADO;NÃO INFORMADO;-8.077169;-34.943208
205;NÃO INFORMADO;NÃO INFORMADO;-8.036942;-34.890516
206;NÃO INFORMADO;NÃO INFORMADO;-8.080278;-34.906767
207;NÃO INFORMADO;NÃO INFORMADO;-8.029761;-34.958306
208;NÃO INFORMADO;NÃO INFORMADO;-8.109961;-34.912244
209;NÃO INFORMADO;NÃO INFORMADO;-8.115251;-34.959408
210;NÃO INFORMADO;NÃO INFORMADO;-8.119914;-34.914063
211;NÃO INFORMADO;NÃO INFORMADO;-8.109547;-34.935772
212;NÃO INFORMADO;NÃO INFORMADO;-8.109271;-34.917466
213;NÃO INFORMADO;NÃO INFORMADO;-8.052272;-34.934737
214;NÃO INFORMADO;NÃO INFORMADO;-8.024465;-34.89363
215;NÃO INFORMADO;NÃO INFORMADO;-8.08407;-34.949398
216;NÃO INFORMADO;NÃO INFORMADO;-8.035381;-34.880508
217;NÃO INFORMADO;NÃO INFORMADO;-8.09098;-34.910613
218;NÃO INFORMADO;NÃO INFORMADO;-8.069693;-34.894799
219;NÃO INFORMADO;NÃO INFORMADO;-8.039816;-34.879532
220;NÃO INFORMADO;NÃO INFORMADO;-8.091384;-34.935783
221;NÃO INFORMADO;NÃO INFORMADO;-8.073836;-34.923128
222;NÃO INFORMADO;NÃO INFORMADO;-8.063261;-34.87157
223;NÃO INFORMADO;NÃO INFORMADO;-8.040618;-34.957981
224;NÃO INFORMADO;NÃO INFORMADO;-7.98941;-34.930344
225;NÃO INFORMADO;NÃO INFORMADO;-8.10755;-34.924518
226;NÃO INFORMADO;NÃO INFORMADO;-8.034297;-34.908864
227;NÃO INFORMADO;NÃO INFORMADO;-8.032502;-34.919738
