X,Y,Z,tipo,data,detalhes,longitude,latitude
-34.887211,-8.04341189999997,0,Motocicleta,31/03/2015,Moto,-34.887211,-8.043412
-34.8813316,-8.03216959999997,0,Motocicleta,31/03/2015,Moto,-34.881332,-8.03217
-34.8920067999999,-8.10989219999993,0,Motocicleta,20/03/2015,Moto,-34.892007,-8.109892
-34.8950297,-8.0365624,0,Motocicleta,20/03/2015,Moto,-34.89503,-8.036562
-34.9105516,-8.10167109999998,0,Motocicleta,20/03/2015,Moto,-34.910552,-8.101671
-34.9191453999999,-8.06515979999995,0,Motocicleta,20/03/2015,Moto,-34.919145,-8.06516
-34.9165182,-8.053071,0,Motocicleta,20/03/2015,Moto,-34.916518,-8.053071
-34.9267467999999,-8.109948,0,Motocicleta,20/03/2015,Moto,-34.926747,-8.109948
-34.9273368999999,-8.10673229999998,0,Motocicleta,20/03/2015,Moto,-34.927337,-8.106732
-34.9471556999999,-8.04310909999998,0,Motocicleta,20/03/2015,Moto,-34.947156,-8.043109
-34.9037817,-8.02736239999996,0,Motocicleta,20/03/2015,Moto,-34.903782,-8.027362
-34.889853,-8.029689,0,Motocicleta,20/03/2015,Moto,-34.889853,-8.029689
-34.8905343,-8.00724989999998,0,Motocicleta,07/03/2015,Moto,-34.890534,-8.00725
-34.9286913999999,-8.07071809999997,0,Motocicleta,11/03/2015,Moto,-34.928691,-8.070718
-34.8927176,-8.07540789999996,0,Motocicleta,11/03/2015,Moto,-34.892718,-8.075408
-34.9548912,-8.090789,0,Motocicleta,21/03/2015,Moto,-34.954891,-8.090789
-34.8786413999999,-8.03218819999995,0,Motocicleta,25/03/2015,Moto,-34.878641,-8.032188
-34.8770375,-8.04761329999997,0,Motocicleta,25/03/2015,Moto,-34.877037,-8.047613
-34.901121,-8.03490649999998,0,Motocicleta,26/03/2015,Moto,-34.901121,-8.034906
-34.9005523,-8.05497249999996,0,Motocicleta,30/03/2015,Moto,-34.900552,-8.054972
-34.8920912999999,-8.0060082,0,Motocicleta,07/03/2015,Moto,-34.892091,-8.006008
-34.8915481999999,-8.10799359999993,0,Ciclomotor,01/03/2015,Ciclomotor,-34.891548,-8.107994
-34.8930556,-8.02727209999995,0,Ciclomotor,04/03/2015,Ciclomotor,-34.893056,-8.027272
