X,Y,Z,tipo,data,detalhes,longitude,latitude
-34.8972666,-8.04365349999995,0,Automóveis,07/02/2015,Táxi,-34.897267,-8.043653
-34.897728,-8.0571422,0,Automóveis,07/02/2015,Táxi,-34.897728,-8.057142
-34.9338653999999,-8.14092719999996,0,Automóveis,11/02/2015,Táxi,-34.933865,-8.140927
-34.8978782,-8.12716779999994,0,Automóveis,11/02/2015,Táxi,-34.897878,-8.127168
-34.8800133,-8.05176959999994,0,Automóveis,13/02/2015,Táxi,-34.880013,-8.05177
-34.8920095,-8.03857159999995,0,Automóveis,13/02/2015,Táxi,-34.892009,-8.038572
-34.8918298,-8.02802369999995,0,Automóveis,13/02/2015,Táxi,-34.89183,-8.028024
-34.9199728999999,-8.02217669999993,0,Automóveis,13/02/2015,Táxi,-34.919973,-8.022177
-34.8955311999999,-8.11577389999997,0,Automóveis,15/02/2015,Táxi,-34.895531,-8.115774
-34.9074912,-8.02528809999995,0,Automóveis,15/02/2015,Táxi,-34.907491,-8.025288
-34.9158328999999,-8.13028509999998,0,Automóveis,16/02/2015,Táxi,-34.915833,-8.130285
-34.8904994,-8.03693819999995,0,Automóveis,21/02/2015,Táxi,-34.890499,-8.036938
-34.9177212,-8.1417662,0,Automóveis,22/02/2015,Táxi,-34.917721,-8.141766
-34.9290038999999,-8.09375379999994,0,Automóveis,24/02/2015,Táxi,-34.929004,-8.093754
-34.8851645,-8.073379,0,Outros,05/02/2015,Caminhão,-34.885164,-8.073379
-34.9430250999999,-8.05270179999997,0,Outros,06/02/2015,Sem informação,-34.943025,-8.052702
-34.8914945,-8.03491579999996,0,Outros,06/02/2015,Sem informação,-34.891494,-8.034916
-34.9077245999999,-8.02973679999997,0,Outros,10/02/2015,Ônibus,-34.907725,-8.029737
-34.8770508,-8.047547,0,Outros,15/02/2015,Ambulância,-34.877051,-8.047547
-34.9108011,-8.13039129999993,0,Outros,16/02/2015,Caminhão,-34.910801,-8.130391
-34.9274576,-8.02054189999996,0,Outros,23/02/2015,Ônibus,-34.927458,-8.020542
-34.9137086,-8.12536219999993,0,Outros,26/02/2015,Ônibus,-34.913709,-8.125362
